,类别,场景,子场景,用户需求,心理作用机制与功能
0,个人成长,自我探索,兴趣培养,缓解学习新兴趣时的压力，保持动力,情感安抚-目标达成
1,个人成长,自我探索,兴趣培养,克服自我怀疑，相信自己的学习能力,认知重构-增强自信
2,个人成长,自我探索,兴趣培养,明确兴趣发展的阶段性目标,认知重构-目标达成
3,个人成长,自我探索,兴趣培养,启动兴趣学习的行动，减少拖延,行为驱动-提升行动力
4,个人成长,自我探索,兴趣培养,完成兴趣学习的短期任务,行为驱动-目标达成
5,个人成长,自我探索,三观建立,减少因价值观模糊引发的焦虑,情感安抚-目标达成
6,个人成长,自我探索,三观建立,建立对自我价值观的坚定信念,认知重构-增强自信
7,个人成长,自我探索,三观建立,将抽象价值观转化为具体生活准则,认知重构-目标达成
8,个人成长,自我探索,三观建立,通过日常行为实践价值观,行为驱动-提升行动力
9,个人成长,自我探索,三观建立,在行动中验证并巩固价值观,行为驱动-目标达成
10,个人成长,工作学习,技能拓展,,情感安抚-目标达成
11,个人成长,工作学习,技能拓展,,认知重构-增强自信
12,个人成长,工作学习,技能拓展,,认知重构-目标达成
13,个人成长,工作学习,技能拓展,,行为驱动-提升行动力
14,个人成长,工作学习,技能拓展,,行为驱动-目标达成
15,个人成长,工作学习,领导力培养,,情感安抚-目标达成
16,个人成长,工作学习,领导力培养,,认知重构-增强自信
17,个人成长,工作学习,领导力培养,,认知重构-目标达成
18,个人成长,工作学习,领导力培养,,行为驱动-提升行动力
19,个人成长,工作学习,领导力培养,,行为驱动-目标达成
20,个人成长,工作学习,学业压力,,情感安抚-缓解压力
21,个人成长,工作学习,学业压力,,情感安抚-目标达成
22,个人成长,工作学习,学业压力,,认知重构-增强自信
23,个人成长,工作学习,学业压力,,认知重构-目标达成
24,个人成长,工作学习,学业压力,,行为驱动-提升行动力
25,个人成长,工作学习,学业压力,,行为驱动-目标达成
26,个人成长,工作学习,任务管理,,情感安抚-缓解压力
27,个人成长,工作学习,任务管理,,情感安抚-目标达成
28,个人成长,工作学习,任务管理,,认知重构-增强自信
29,个人成长,工作学习,任务管理,,认知重构-目标达成
30,个人成长,工作学习,任务管理,,行为驱动-提升行动力
31,个人成长,工作学习,任务管理,,行为驱动-目标达成
32,个人成长,工作学习,时间管理,,情感安抚-缓解压力
33,个人成长,工作学习,时间管理,,情感安抚-目标达成
34,个人成长,工作学习,时间管理,,认知重构-增强自信
35,个人成长,工作学习,时间管理,,认知重构-目标达成
36,个人成长,工作学习,时间管理,,行为驱动-提升行动力
37,个人成长,工作学习,时间管理,,行为驱动-目标达成
38,个人成长,工作学习,职业倦怠,,情感安抚-缓解压力
39,个人成长,工作学习,职业倦怠,,情感安抚-目标达成
40,个人成长,工作学习,职业倦怠,,认知重构-增强自信
41,个人成长,工作学习,职业倦怠,,认知重构-目标达成
42,个人成长,工作学习,职业倦怠,,行为驱动-提升行动力
43,个人成长,工作学习,职业倦怠,,行为驱动-目标达成
44,个人成长,工作学习,动力不足,,情感安抚-缓解压力
45,个人成长,工作学习,动力不足,,情感安抚-目标达成
46,个人成长,工作学习,动力不足,,认知重构-增强自信
47,个人成长,工作学习,动力不足,,认知重构-目标达成
48,个人成长,工作学习,动力不足,,行为驱动-提升行动力
49,个人成长,工作学习,动力不足,,行为驱动-目标达成
50,个人成长,生活过渡,毕业适应,,情感安抚-缓解压力
51,个人成长,生活过渡,毕业适应,,情感安抚-目标达成
52,个人成长,生活过渡,毕业适应,,认知重构-增强自信
53,个人成长,生活过渡,毕业适应,,认知重构-目标达成
54,个人成长,生活过渡,毕业适应,,行为驱动-提升行动力
55,个人成长,生活过渡,毕业适应,,行为驱动-目标达成
56,个人成长,生活过渡,身份转变,,情感安抚-缓解压力
57,个人成长,生活过渡,身份转变,,情感安抚-目标达成
58,个人成长,生活过渡,身份转变,,认知重构-增强自信
59,个人成长,生活过渡,身份转变,,认知重构-目标达成
60,个人成长,生活过渡,身份转变,,行为驱动-提升行动力
61,个人成长,生活过渡,身份转变,,行为驱动-目标达成
62,个人成长,应对挑战,考试,,情感安抚-缓解压力
63,个人成长,应对挑战,考试,,情感安抚-目标达成
64,个人成长,应对挑战,考试,,认知重构-增强自信
65,个人成长,应对挑战,考试,,认知重构-目标达成
66,个人成长,应对挑战,考试,,行为驱动-提升行动力
67,个人成长,应对挑战,考试,,行为驱动-目标达成
68,个人成长,应对挑战,面试,,情感安抚-缓解压力
69,个人成长,应对挑战,面试,,情感安抚-目标达成
70,个人成长,应对挑战,面试,,认知重构-增强自信
71,个人成长,应对挑战,面试,,认知重构-目标达成
72,个人成长,应对挑战,面试,,行为驱动-提升行动力
73,个人成长,应对挑战,面试,,行为驱动-目标达成
74,个人成长,应对挑战,演讲,,情感安抚-缓解压力
75,个人成长,应对挑战,演讲,,情感安抚-目标达成
76,个人成长,应对挑战,演讲,,认知重构-增强自信
77,个人成长,应对挑战,演讲,,认知重构-目标达成
78,个人成长,应对挑战,演讲,,行为驱动-提升行动力
79,个人成长,应对挑战,演讲,,行为驱动-目标达成
80,个人成长,应对挑战,比赛,,情感安抚-缓解压力
81,个人成长,应对挑战,比赛,,情感安抚-目标达成
82,个人成长,应对挑战,比赛,,认知重构-增强自信
83,个人成长,应对挑战,比赛,,认知重构-目标达成
84,个人成长,应对挑战,比赛,,行为驱动-提升行动力
85,个人成长,应对挑战,比赛,,行为驱动-目标达成
86,个人成长,职业发展,求职,,情感安抚-缓解压力
87,个人成长,职业发展,求职,,情感安抚-目标达成
88,个人成长,职业发展,求职,,认知重构-增强自信
89,个人成长,职业发展,求职,,认知重构-目标达成
90,个人成长,职业发展,求职,,行为驱动-提升行动力
91,个人成长,职业发展,求职,,行为驱动-目标达成
92,个人成长,职业发展,职业规划,,情感安抚-缓解压力
93,个人成长,职业发展,职业规划,,情感安抚-目标达成
94,个人成长,职业发展,职业规划,,认知重构-增强自信
95,个人成长,职业发展,职业规划,,认知重构-目标达成
96,个人成长,职业发展,职业规划,,行为驱动-提升行动力
97,个人成长,职业发展,职业规划,,行为驱动-目标达成
98,个人成长,职业发展,转型适应,,情感安抚-缓解压力
99,个人成长,职业发展,转型适应,,情感安抚-目标达成
100,个人成长,职业发展,转型适应,,认知重构-增强自信
101,个人成长,职业发展,转型适应,,认知重构-目标达成
102,个人成长,职业发展,转型适应,,行为驱动-提升行动力
103,个人成长,职业发展,转型适应,,行为驱动-目标达成
104,个人成长,职业发展,失业,,情感安抚-缓解压力
105,个人成长,职业发展,失业,,情感安抚-接纳自我
106,个人成长,职业发展,失业,,情感安抚-目标达成
107,个人成长,职业发展,失业,,认知重构-增强自信
108,个人成长,职业发展,失业,,认知重构-目标达成
109,个人成长,职业发展,失业,,行为驱动-提升行动力
110,个人成长,职业发展,失业,,行为驱动-目标达成
111,个人成长,创造力,创意设计与表达,,认知重构-增强自信
112,个人成长,创造力,创意设计与表达,,认知重构-目标达成
113,个人成长,创造力,创意设计与表达,,行为驱动-提升行动力
114,个人成长,创造力,创意设计与表达,,行为驱动-目标达成
115,个人成长,创造力,创造性问题解决,,认知重构-增强自信
116,个人成长,创造力,创造性问题解决,,认知重构-目标达成
117,个人成长,创造力,创造性问题解决,,行为驱动-提升行动力
118,个人成长,创造力,创造性问题解决,,行为驱动-目标达成
119,健康疗愈,身体健康,作息,,情感安抚-缓解压力
120,健康疗愈,身体健康,作息,,情感安抚-接纳自我
121,健康疗愈,身体健康,作息,,情感安抚-目标达成
122,健康疗愈,身体健康,作息,,认知重构-增强自信
123,健康疗愈,身体健康,作息,,认知重构-目标达成
124,健康疗愈,身体健康,作息,,行为驱动-提升行动力
125,健康疗愈,身体健康,作息,,行为驱动-目标达成
126,健康疗愈,身体健康,饮食,,情感安抚-缓解压力
127,健康疗愈,身体健康,饮食,,情感安抚-接纳自我
128,健康疗愈,身体健康,饮食,,情感安抚-目标达成
129,健康疗愈,身体健康,饮食,,认知重构-增强自信
130,健康疗愈,身体健康,饮食,,认知重构-目标达成
131,健康疗愈,身体健康,饮食,,行为驱动-提升行动力
132,健康疗愈,身体健康,饮食,,行为驱动-目标达成
133,健康疗愈,身体健康,运动,,情感安抚-缓解压力
134,健康疗愈,身体健康,运动,,情感安抚-接纳自我
135,健康疗愈,身体健康,运动,,情感安抚-目标达成
136,健康疗愈,身体健康,运动,,认知重构-增强自信
137,健康疗愈,身体健康,运动,,认知重构-目标达成
138,健康疗愈,身体健康,运动,,行为驱动-提升行动力
139,健康疗愈,身体健康,运动,,行为驱动-目标达成
140,健康疗愈,身体健康,慢性健康管理,,情感安抚-缓解压力
141,健康疗愈,身体健康,慢性健康管理,,情感安抚-接纳自我
142,健康疗愈,身体健康,慢性健康管理,,情感安抚-目标达成
143,健康疗愈,身体健康,慢性健康管理,,认知重构-增强自信
144,健康疗愈,身体健康,慢性健康管理,,认知重构-目标达成
145,健康疗愈,身体健康,慢性健康管理,,行为驱动-提升行动力
146,健康疗愈,身体健康,慢性健康管理,,行为驱动-目标达成
147,健康疗愈,心理健康,自我接纳,减少因自我否定引发的情绪波动,情感安抚-缓解压力
148,健康疗愈,心理健康,自我接纳,接纳自身的不完美，停止自我批判,情感安抚-接纳自我
149,健康疗愈,心理健康,自我接纳,设定自我接纳的阶段性目标,情感安抚-目标达成
150,健康疗愈,心理健康,自我接纳,修正“必须完美”的负面思维,认知重构-增强自信
151,健康疗愈,心理健康,自我接纳,将自我接纳转化为具体行动计划,认知重构-目标达成
152,健康疗愈,心理健康,自我接纳,通过日常练习强化自我接纳,行为驱动-提升行动力
153,健康疗愈,心理健康,自我接纳,完成自我疗愈的阶段性里程碑,行为驱动-目标达成
154,健康疗愈,心理健康,焦虑压力,,情感安抚-缓解压力
155,健康疗愈,心理健康,焦虑压力,,情感安抚-接纳自我
156,健康疗愈,心理健康,焦虑压力,,情感安抚-目标达成
157,健康疗愈,心理健康,焦虑压力,,认知重构-增强自信
158,健康疗愈,心理健康,焦虑压力,,认知重构-目标达成
159,健康疗愈,心理健康,焦虑压力,,行为驱动-提升行动力
160,健康疗愈,心理健康,焦虑压力,,行为驱动-目标达成
161,健康疗愈,心理健康,创伤疗愈,,情感安抚-缓解压力
162,健康疗愈,心理健康,创伤疗愈,,情感安抚-接纳自我
163,健康疗愈,心理健康,创伤疗愈,,情感安抚-目标达成
