序号,自我肯定语,权重,最终合集,合集数量,AI合集,修改后合集,合集理由,曝光点赞率,不感兴趣次数,是否短断句,生产者,感情状况,感情状况理由,最近的感觉,什么让你有这种感觉,最近的感觉理由,场景,子场景,用户需求,心理作用机制与功能,句子级别,备注
4378,会有很多人和我合得来。,3,"['人际交往', '自信']",2,"['人际交往', '自信']",,,,,,,,,,,,,,,,,
4379,我不甘平凡，我要轰轰烈烈地去追求。,3,"['点燃动力', '追梦无悔']",2,"['点燃动力', '追梦无悔']",,,,,,,,,,,,,,,,,
4380,我人见人爱。,3,"['人际交往', '自信']",2,"['人际交往', '自信']",,,,,,,,,,,,,,,,,
4381,我总能找到自己身上的闪光点,3,"['女性力量', '自信']",2,,,,,,,,,,,,,,,,,,
4382,我自己就拥有实现那些愿望的能力。,3,"['自信', '追梦无悔']",2,,,,,,,,,,,,,,,,,,
4383,我多给自己一点时间，多给自己一次机会。,3,"['积极心态', '艰难时刻']",2,,,,,,,,,,,,,,,,,,
4384,我可以创造奇迹。,3,"['事业成功', '自信', '追梦无悔']",3,,,,,,,,,,,,,,,,,,
4385,我的未来比海更辽阔,3,"['事业成功', '自信', '追梦无悔']",3,,,,,,,,,,,,,,,,,,
4386,我所经历的一切都有意义。,3,"['擦拭信念', '艰难时刻', '心碎疗愈', '平静内心']",4,,,,,,,,,,,,,,,,,,
4387,我不沉浸在过去的辛酸里，我只需记住过去的教训。,3,"['艰难时刻', '心碎疗愈']",2,,,,,,,,,,,,,,,,,,
4388,我不服输。,3,"['事业成功', '勇气', '追梦无悔']",3,,,,,,,,,,,,,,,,,,
4389,我所追求的东西，会以意想不到的方式出现在我的生命里。,3,"['事业成功', '积极心态', '追梦无悔']",3,,,,,,,,,,,,,,,,,,
4390,我会把梦想变成现实。,3,"['事业成功', '勇气', '追梦无悔']",3,,,,,,,,,,,,,,,,,,
4391,我并不需要说服别人来理解我。,3,"['人际交往', '女性力量', '自尊心']",3,,,,,,,,,,,,,,,,,,
4392,我会成为自己想成为的人,3,"['事业成功', '点燃动力', '追梦无悔']",3,,,,,,,,,,,,,,,,,,
4393,我在创造关于自己的史诗。,3,"['事业成功', '点燃动力', '追梦无悔']",3,,,,,,,,,,,,,,,,,,
4394,我会找到自己的人生节奏。,3,"['积极心态', '个人成长']",2,,,,,,,,,,,,,,,,,,
4395,其他人无权评价我的是非对错。,3,"['人际交往', '女性力量', '自尊心']",3,,,,,,,,,,,,,,,,,,
4396,我是历史的一部分，值得被珍惜。,3,"['自尊心', '自我关怀', '平静内心']",3,,,,,,,,,,,,,,,,,,
4397,我会像爱自己一样爱其他人。,3,"['亲密关系', '擦拭信念']",2,,,,,,,,,,,,,,,,,,
4398,我的存在自有意义。,3,"['自尊心', '抗击抑郁', '平静内心']",3,,,,,,,,,,,,,,,,,,
4399,没有无法承受的痛苦，只有我暂时无法理解的祝福。,3,"['艰难时刻', '心碎疗愈', '抗击抑郁', '平静内心']",4,,,,,,,,,,,,,,,,,,
4400,我不将就。,3,"['人际交往', '女性力量', '自尊心']",3,,,,,,,,,,,,,,,,,,
4401,这个世界有专属于我的位置。,3,"['事业成功', '女性力量', '自尊心']",3,,,,,,,,,,,,,,,,,,
4402,不必遗憾，我的人生从今天开始。,3,"['心碎疗愈', '抗击抑郁', '平静内心']",3,,,,,,,,,,,,,,,,,,
4403,我争取我应得的权利。,3,"['人际交往', '女性力量', '勇气']",3,,,,,,,,,,,,,,,,,,
4404,我不辜负自己的期待。,3,"['个人成长', '点燃动力', '追梦无悔']",3,,,,,,,,,,,,,,,,,,
4405,我不自责。,3,"['艰难时刻', '心碎疗愈', '抗击抑郁', '平静内心']",4,,,,,,,,,,,,,,,,,,
4406,没有人能真正伤害我。,3,"['艰难时刻', '心碎疗愈', '抗击抑郁', '平静内心']",4,,,,,,,,,,,,,,,,,,
4407,我不被定义。,3,"['自信', '女性力量', '自尊心']",3,,,,,,,,,,,,,,,,,,
4408,我尊重所有声音，但我只成为自己。,3,"['人际交往', '拥抱女性身份', '自尊心']",3,,,,,,,,,,,,,,,,,,
4409,我不让世俗淹没生活的浪漫与热情。,3,"['积极心态', '自我关怀', '愉悦心情']",3,,,,,,,,,,,,,,,,,,
4410,我要在最快乐的年纪活得精彩且迷人。,3,"['点燃动力', '焕发生命力']",2,,,,,,,,,,,,,,,,,,
4411,我光荣地受伤，也勇敢地痊愈自己。,3,"['抗击抑郁', '勇气', '焕发生命力']",3,,,,,,,,,,,,,,,,,,
4412,那些让我痛苦至极的事，总有一天我会笑着说出来。,3,"['抗击抑郁', '勇气', '焕发生命力']",3,,,,,,,,,,,,,,,,,,
4413,重要的不是我来自何处，而是我去往何方。,3,"['个人成长', '点燃动力', '追梦无悔']",3,,,,,,,,,,,,,,,,,,
4414,爱与被爱是我人生的成就。,3,"['亲密关系', '爱自己', '女性力量' ]",3,,,,,,,,,,,,,,,,,,
4415,时间会治愈一切。,3,"['艰难时刻', '心碎疗愈', '抗击抑郁', '平静内心']",4,,,,,,,,,,,,,,,,,,
4416,今晚我会关灯好好睡一觉。,3,"['爱我的身体', '减压放松']",2,,,,,,,,,,,,,,,,,,
4417,漫漫长夜总有天明。,3,"['艰难时刻', '心碎疗愈', '抗击抑郁']",3,,,,,,,,,,,,,,,,,,
4418,我是真真正正一步一步长大的，我是无数个我中唯一幸存的我。,3,"['个人成长', '积极心态', '自尊心']",3,,,,,,,,,,,,,,,,,,
4419,我爱我缓慢向上的勇气。,3,"['个人成长', '女性力量', '勇气']",3,,,,,,,,,,,,,,,,,,
4420,任意一个时刻都可以是我新的出发点。,3,"['点燃动力', '焕发生命力']",2,,,,,,,,,,,,,,,,,,
4421,就算结果不如意，我也赞赏努力的过程。,3,"['个人成长','艰难时刻']",2,,,,,,,,,,,,,,,,,,
